"cnpj","nome","cidade","estado","produto","valor","data_cadastro"
"2,078,330,000,125.00","SAO MARTINHO AUTO SERVICE LTDA","CAMPINAS","SP","Diesel S10","3.699","1/23/2019 14:56"
"2,308,408,000,150.00","POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI","VIAMAO","RS","Gasolina C Comum","4.299","10/10/2019 17:08"
"2,308,408,000,150.00","POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI","VIAMAO","RS","Etanol","3.899","10/10/2019 17:08"
"2,308,408,000,150.00","POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI","VIAMAO","RS","GNV","3.599","10/10/2019 17:08"
"2,308,408,000,150.00","POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI","VIAMAO","RS","Diesel S500","3.699","10/10/2019 17:08"
"2,308,408,000,150.00","POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI","VIAMAO","RS","Diesel S10","3.799","10/10/2019 17:08"
"2,308,408,000,231.00","POSTO DA FIGUEIRA II","VIAMAO","RS","Gasolina C Comum","4.399","14/10/2019 15:17"
"2,308,408,000,231.00","POSTO DA FIGUEIRA II","VIAMAO","RS","Diesel S500","3.699","14/10/2019 15:17"
"2,308,408,000,231.00","POSTO DA FIGUEIRA II","VIAMAO","RS","Diesel S10","3.799","14/10/2019 15:17"
"2,315,421,000,137.00","POSTO 1350 LTDA","ITAJAI","SC","Gasolina C Comum","3.799","8/14/2018 12:18"
"2,315,421,000,137.00","POSTO 1350 LTDA","ITAJAI","SC","Etanol","3.299","8/14/2018 12:18"
